Carátula,Título,Director,Duración,Versión,Sesión 1,Link Sesión 1,Sesión 2,Link Sesión 2,Sesión 3,Link Sesión 3,Sesión 4,Link Sesión 4,Sesión 5,Link Sesión 5,Sesión 6,Link Sesión 6
/static/images/sincaratula.jpg,Título no disponible,Director no disponible,Duración no disponible,Versión no disponible,,,,,,,,,,,,
https://salaequis.es/wp-content/uploads/2024/11/ANORA_cartel-150x188.jpeg,ANORA,Sean Baker,138 min,Digital – VOSE,23/01/2025 19:15,https://kinetike.com:83/views/sesionesFuturas.aspx?idPelicula=2725&cine=EQUIS,29/01/2025 22:00,https://kinetike.com:83/views/sesionesFuturas.aspx?idPelicula=2725&cine=EQUIS,30/01/2025 19:15,https://kinetike.com:83/views/sesionesFuturas.aspx?idPelicula=2725&cine=EQUIS,,,,,,
https://salaequis.es/wp-content/uploads/2024/12/Call-me-by-your-name--150x225.jpg,CALL ME BY YOUR NAME,Director no disponible,Duración no disponible,Versión no disponible,,,,,,,,,,,,
https://salaequis.es/wp-content/uploads/2024/12/CEGADOS-POR-EL-SOL-150x220.jpg,CEGADOS POR EL SOL,Director no disponible,Duración no disponible,Versión no disponible,,,,,,,,,,,,
https://salaequis.es/wp-content/uploads/2024/12/Crudo-150x205.jpg,CRUDO,Director no disponible,Duración no disponible,Versión no disponible,,,,,,,,,,,,
https://salaequis.es/wp-content/uploads/2024/12/DAHOMEY-150x216.jpg,DAHOMEY,Director no disponible,Duración no disponible,Versión no disponible,,,,,,,,,,,,
https://salaequis.es/wp-content/uploads/2024/11/EMILIA-PEREZ_cartel-150x214.jpeg,EMILIA PÉREZ,Jacques Audiard,130 min,Digital – VOSE,25/01/2025 19:15,https://kinetike.com:83/views/sesionesFuturas.aspx?idPelicula=2728&cine=EQUIS,28/01/2025 19:15,https://kinetike.com:83/views/sesionesFuturas.aspx?idPelicula=2728&cine=EQUIS,,,,,,,,
https://salaequis.es/wp-content/uploads/2024/12/Bones-and-all-150x214.jpg,HASTA LOS HUESOS: BONES AND ALL,Luca Guadagnino,130 min,Digital – VOSE,,,,,,,,,,,,
https://salaequis.es/wp-content/uploads/2024/11/LA-COCINA_cartel-150x222.jpeg,LA COCINA,Alonso Ruizpalacios,139 min,Digital – VOSE,28/01/2025 22:00,https://kinetike.com:83/views/sesionesFuturas.aspx?idPelicula=2726&cine=EQUIS,,,,,,,,,,
https://salaequis.es/wp-content/uploads/2024/09/La_sustancia-poster-150x225.jpeg,LA SUSTANCIA,Coralie Fargeat,140 min,Digital – VOSE,24/01/2025 22:00,https://kinetike.com:83/views/sesionesFuturas.aspx?idPelicula=2692&cine=EQUIS,31/01/2025 22:00,https://kinetike.com:83/views/sesionesFuturas.aspx?idPelicula=2692&cine=EQUIS,,,,,,,,
